modelo	num_leaves	min_data_in_leaf	learning_rate	feature_fraction	bagging_fraction	bagging_freq	lambda_l2	max_depth	min_gain_to_split	lambda_l1	min_sum_hessian_in_leaf	par	semilla_modelo	semilla_undersampling	AUC	best_iter
M07	31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	10	343153	371719	0.932965988992137	840
M08	31	500	0.01	0.6	0.9	1	0	-1	0	0	1	6	445583	569671	0.931521263168218	756
M08	31	500	0.01	0.6	0.9	1	0	-1	0	0	1	7	172169	164309	0.932209855002846	666
M08	31	500	0.01	0.6	0.9	1	0	-1	0	0	1	8	665783	805573	0.933329747312626	855
M08	31	500	0.01	0.6	0.9	1	0	-1	0	0	1	9	630127	464131	0.932074961407707	790
M08	31	500	0.01	0.6	0.9	1	0	-1	0	0	1	10	343153	371719	0.932734720783306	839
M09	31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	6	445583	569671	0.931792474460757	709
M09	31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	7	172169	164309	0.932341600500245	796
M09	31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	8	665783	805573	0.933184942906893	921
M09	31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	9	630127	464131	0.932291895389833	857
M09	31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	10	343153	371719	0.932960660712995	719
M10	31	500	0.01	0.4	0.75	1	0	-1	0.01	0	0.001	6	445583	569671	0.931713213634284	773
M10	31	500	0.01	0.4	0.75	1	0	-1	0.01	0	0.001	7	172169	164309	0.932408581568857	792
M10	31	500	0.01	0.4	0.75	1	0	-1	0.01	0	0.001	8	665783	805573	0.933208874709104	818
M10	31	500	0.01	0.4	0.75	1	0	-1	0.01	0	0.001	9	630127	464131	0.932199010639246	812
M10	31	500	0.01	0.4	0.75	1	0	-1	0.01	0	0.001	10	343153	371719	0.933012573553457	868
M11	31	300	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	6	445583	569671	0.931194388522912	676
M11	31	300	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	7	172169	164309	0.932272173200074	772
M11	31	300	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	8	665783	805573	0.932910839932535	762
M11	31	300	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	9	630127	464131	0.932303985278106	755
M11	31	300	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	10	343153	371719	0.933059191027365	754
M12	31	500	0.02	0.5	0.75	1	0	-1	0	0	0.001	6	445583	569671	0.931562998334829	374
M12	31	500	0.02	0.5	0.75	1	0	-1	0	0	0.001	7	172169	164309	0.931782291652771	427
M12	31	500	0.02	0.5	0.75	1	0	-1	0	0	0.001	8	665783	805573	0.932691353749611	378
M12	31	500	0.02	0.5	0.75	1	0	-1	0	0	0.001	9	630127	464131	0.932144432241334	359
M12	31	500	0.02	0.5	0.75	1	0	-1	0	0	0.001	10	343153	371719	0.93250288517519	354
